epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,5109.28,1.9701,3.19023,1.69265,1.45331,0,0.5939,0.46609,0.5026,0.21205,0.63872,0.44689,0.49607,0.17769,2.07939,3.25878,1.75627,1.61911,0,0.001538,0.001538,0.001538
30,5285.14,1.96994,3.12736,1.64351,1.44502,0,0.675,0.49451,0.51984,0.19761,0.70925,0.45055,0.4889,0.15905,2.11525,3.40167,1.7859,1.62187,0,0.0015215,0.0015215,0.0015215
31,5461.2,1.92552,3.10564,1.60682,1.40898,0,0.65654,0.48315,0.54729,0.2315,0.65654,0.48315,0.52936,0.18758,2.08419,3.3843,1.6159,1.58787,0,0.001505,0.001505,0.001505
32,5637.2,1.91501,3.10069,1.58227,1.4095,0,0.79955,0.43956,0.51443,0.21022,0.72891,0.44324,0.48713,0.1668,2.06254,3.33683,1.71132,1.5691,0,0.0014885,0.0014885,0.0014885
33,5813.19,1.87467,3.06312,1.55992,1.3908,0,0.66176,0.49449,0.5197,0.23575,0.61597,0.45831,0.48571,0.18102,2.04503,3.31235,1.7018,1.58857,0,0.001472,0.001472,0.001472
34,5989,1.84175,3.04497,1.50797,1.37748,0,0.58124,0.48812,0.4886,0.21391,0.54564,0.45055,0.43411,0.15741,2.09275,3.38709,1.75012,1.59266,0,0.0014555,0.0014555,0.0014555
35,6164.91,1.85198,3.01833,1.51207,1.37614,0,0.67926,0.46154,0.51782,0.23784,0.66178,0.45055,0.4923,0.18786,2.01955,3.33461,1.6999,1.54008,0,0.001439,0.001439,0.001439
36,6340.68,1.85684,2.99943,1.4862,1.37709,0,0.57572,0.48352,0.52544,0.21053,0.5425,0.45055,0.46235,0.17229,2.17358,3.4644,1.87475,1.63052,0,0.0014225,0.0014225,0.0014225
37,6516.56,1.80806,2.9472,1.48134,1.35813,0,0.66183,0.40659,0.46165,0.18192,0.62697,0.40659,0.42389,0.15516,2.13164,3.30498,1.77428,1.62069,0,0.001406,0.001406,0.001406
38,6692.58,1.81616,2.93625,1.44284,1.36543,0,0.68924,0.49451,0.51336,0.21881,0.67017,0.46892,0.47954,0.18095,2.06152,3.3053,1.70188,1.5792,0,0.0013895,0.0013895,0.0013895
39,6868.51,1.79505,2.9441,1.4213,1.35441,0,0.63071,0.47253,0.51874,0.20843,0.63636,0.40659,0.45941,0.15506,2.09913,3.62157,1.75939,1.60802,0,0.001373,0.001373,0.001373
40,7044.21,1.78797,2.87712,1.39701,1.33909,0,0.60328,0.52747,0.50019,0.19424,0.5451,0.49451,0.46263,0.1589,2.15718,3.38152,1.70747,1.58403,0,0.0013565,0.0013565,0.0013565
41,7219.88,1.78721,2.92626,1.44174,1.35006,0,0.71422,0.48352,0.53574,0.22788,0.69246,0.45055,0.49593,0.17657,2.05808,3.54427,1.63445,1.58079,0,0.00134,0.00134,0.00134
42,7395.58,1.77328,2.92289,1.39747,1.33293,0,0.62939,0.51648,0.51182,0.21308,0.68902,0.40659,0.45783,0.15249,2.08975,3.40649,1.60541,1.59633,0,0.0013235,0.0013235,0.0013235
43,7571.61,1.74043,2.85971,1.3514,1.31827,0,0.72995,0.48352,0.55161,0.23379,0.71379,0.43852,0.47132,0.18095,2.14675,3.45737,1.68264,1.60426,0,0.001307,0.001307,0.001307
44,7747.37,1.71985,2.83659,1.33569,1.31504,0,0.67749,0.51648,0.50891,0.21685,0.64752,0.50549,0.48182,0.17362,2.13558,3.56251,1.65585,1.64703,0,0.0012905,0.0012905,0.0012905
45,7923.47,1.70089,2.8253,1.32518,1.29848,0,0.53676,0.54945,0.53168,0.23736,0.74726,0.45055,0.53963,0.1878,2.07921,3.36232,1.60189,1.61338,0,0.001274,0.001274,0.001274
46,8099.34,1.71584,2.81073,1.35446,1.31704,0,0.81733,0.49174,0.56244,0.24505,0.69523,0.46154,0.50735,0.19601,2.14472,3.54045,1.57812,1.68784,0,0.0012575,0.0012575,0.0012575
47,8275.65,1.68383,2.84003,1.29754,1.28821,0,0.66781,0.45055,0.48715,0.20682,0.65153,0.43956,0.45423,0.16817,2.14104,3.61265,1.73256,1.62508,0,0.001241,0.001241,0.001241
48,8451.58,1.67068,2.78256,1.29629,1.28855,0,0.59952,0.47711,0.49199,0.2135,0.58846,0.47253,0.45127,0.17434,2.14012,3.46437,1.67636,1.70614,0,0.0012245,0.0012245,0.0012245
49,8627.46,1.66929,2.80172,1.2961,1.28351,0,0.56043,0.51841,0.47826,0.20223,0.58739,0.41758,0.42941,0.16067,2.14083,3.60197,1.65077,1.71111,0,0.001208,0.001208,0.001208
50,8803.26,1.64068,2.72766,1.2447,1.26607,0,0.53615,0.53846,0.49923,0.21911,0.58542,0.47253,0.46698,0.16927,2.13372,3.70536,1.60588,1.70711,0,0.0011915,0.0011915,0.0011915
51,8979.33,1.62562,2.70099,1.22742,1.26114,0,0.70957,0.48327,0.50695,0.22318,0.6758,0.45055,0.47882,0.181,2.13906,3.5805,1.67746,1.69952,0,0.001175,0.001175,0.001175
52,9155.3,1.61317,2.71275,1.21687,1.25262,0,0.51255,0.54945,0.44933,0.19586,0.49204,0.52747,0.42495,0.15597,2.24951,3.5925,1.69253,1.75302,0,0.0011585,0.0011585,0.0011585
53,9331.48,1.61808,2.72431,1.21255,1.25927,0,0.60736,0.52747,0.51288,0.22836,0.61034,0.49919,0.49699,0.19013,2.17299,3.63032,1.6766,1.66395,0,0.001142,0.001142,0.001142
54,9507.58,1.59505,2.66921,1.19581,1.24351,0,0.66976,0.49451,0.52203,0.22585,0.68986,0.46154,0.47886,0.16802,2.11962,3.65072,1.63666,1.66978,0,0.0011255,0.0011255,0.0011255
55,9683.86,1.57259,2.6507,1.17585,1.23757,0,0.61315,0.50549,0.4858,0.20656,0.62877,0.46154,0.44397,0.17504,2.16744,3.73144,1.67905,1.69627,0,0.001109,0.001109,0.001109
