Model,Precision(Mask)_Absolute_Gap,Precision(Mask)_Percentage_Gap,Recall(Mask)_Absolute_Gap,Recall(Mask)_Percentage_Gap,mAP50(Mask)_Absolute_Gap,mAP50(Mask)_Percentage_Gap,mAP50-95(Mask)_Absolute_Gap,mAP50-95(Mask)_Percentage_Gap,F1-Score(Mask)_Absolute_Gap,F1-Score(Mask)_Percentage_Gap,Dice_Coefficient_Absolute_Gap,Dice_Coefficient_Percentage_Gap
Model_2_Your_Reproduction,-0.20294459450000002,-21.452032942862324,-0.30769230769999995,-41.79104477510581,-0.3440011854,-39.456789139068235,-0.2172791234,-45.687656262499964,-0.2844548616,-34.351449612997776,-0.2844548616,-34.351449612997776
Model_3_Your_v7,-0.24721386459999994,-26.131466967116012,-0.19780219779999997,-26.865671640169296,-0.3375206703000001,-38.71347682310653,-0.25870443639999996,-54.39822831974378,-0.21982132500000007,-26.54614910473343,-0.21982132500000007,-26.54614910473343
Model_4_Your_v8,-0.24142537990000001,-25.519601621406334,-0.2527472528,-34.3283582144286,-0.34228656180000006,-39.26012254398252,-0.2740227383,-57.619234096925595,-0.25457911710000003,-30.7435832328278,-0.25457911710000003,-30.7435832328278
