Metric,v7_Value,v8_Value,Difference,Percentage_Change
Precision(Mask),0.6988251194,0.7046136041,0.0057884846999999295,0.8283166330611913
Recall(Mask),0.5384615385,0.4835164835,-0.05494505500000002,-10.204081642128283
mAP50(Mask),0.5343221555,0.529556264,-0.004765891499999952,-0.8919509421315683
mAP50-95(Mask),0.2168706777,0.2015523758,-0.015318301899999998,-7.06333473130471
F1-Score(Mask),0.6082510411,0.573493249,-0.03475779209999996,-5.714382672842081
Dice_Coefficient,0.6082510411,0.573493249,-0.03475779209999996,-5.714382672842081
Speed_Inf,23.0878908293,15.4855380975,-7.602352731800002,-32.92787889551233
