Model,Architecture,Timestamp,Precision(Mask),Recall(Mask),mAP50(Mask),mAP50-95(Mask),Fitness,F1-Score(Mask),Dice_Coefficient,Speed_Inference(ms),Dice_Std,IoU_Mean,IoU_Std,Num_Test_Images
YOLO Segmentation,YOLOv8,2026-02-11 23:04:49,0.9460389840292658,0.7362637362637363,0.8741214212386726,0.477363755326064,1.0133225041155236,0.8280723660854842,0.8280723660854842,486.0454802195286,,,,
UNet++ Segmentation,UNet++ (EfficientNet-B5),2026-02-11 23:09:22,0.6001603626387976,0.6086002167979591,0.4728113820932628,0.4728113820932628,,0.5830609258517128,0.5830609258517128,3280.93915893918,0.3150467393555146,0.4728113820932628,0.2788001391264221,82.0
